LC_Type1,LST_Day_1km,pr,aet,NDVI,EVI,Gpp
1.0,-0.29984894,2.0608108,-0.08344031,0.93918246,0.6920345,16491.0
1.0,0.024169184,1.8288288,0.02995293,0.4369748,0.16844241,12076.0
5.0,0.003776435,0.35135135,0.29482242,0.26264066,0.231862,12082.0
5.0,-0.36858007,0.027027028,-0.16431323,0.0042728954,-0.09944191,11095.0
8.0,-0.5566465,-0.39414415,-0.14206247,-0.50049853,-0.4074074,7857.0
8.0,-0.5925227,-0.3873874,-0.14591357,-0.3911124,-0.34145105,8368.0
8.0,-0.44335347,-0.3828829,-0.14035088,-0.66714144,-0.28158295,6754.0
8.0,-0.44335347,-0.3828829,-0.14035088,-0.66714144,-0.28158295,6754.0
8.0,-0.5755287,-0.3873874,-0.1253744,-0.5084746,-0.25114155,8689.0
8.0,-0.54783535,-0.41666666,-0.15489945,-0.24497935,-0.48503298,7594.0
10.0,-0.6276435,-0.40765765,-0.14848095,-1.3681812,-1.1283612,3479.0
8.0,-0.6729607,0.5225225,-0.17158751,-0.8790771,-0.6686961,8044.0
8.0,-0.36253777,-0.6306306,-0.23791185,0.17376442,-0.00050735666,8841.0
8.0,-0.24093656,-0.6644144,-0.25203252,-0.10824669,-0.24911213,8109.0
12.0,0.25075528,0.6328829,0.45614034,-0.14613304,-0.011161847,9563.0
5.0,-0.050604228,0.5472973,0.40265298,0.3888335,0.23947234,11632.0
10.0,1.2019138,-1.0,-1.1253744,-1.0340407,-0.7666159,2030.0
4.0,-0.046324763,1.2027028,0.4334617,0.22731805,0.24657534,11943.0
4.0,0.21500455,1.2184684,1.3162174,0.45292693,0.3992897,16204.0
1.0,0.5468278,0.16666667,-0.8125802,0.27916253,0.2587519,11171.0
1.0,-0.68479306,-0.3581081,-0.5498502,-0.0005697194,-0.23389143,8420.0
12.0,0.6676737,-0.12612613,0.65896446,-0.6087452,-0.43125317,7563.0
10.0,0.6953671,-0.6644144,-1.2503209,-0.7084461,-0.5687468,4052.0
10.0,1.1290464,-0.3153153,0.521181,-0.21934198,-0.16996449,11133.0
1.0,-0.17019182,2.123874,0.18100129,0.9206666,0.6732623,15371.0
1.0,0.09214502,1.8896396,0.25417203,0.4700185,0.12430239,12878.0
5.0,-0.001510574,0.38513514,0.31108257,0.16863695,0.1780822,12746.0
5.0,-0.5060423,0.123873875,-0.26273,0.3139154,-0.08472856,9625.0
8.0,-1.3942598,-0.31756756,-0.47282842,-0.21649338,-0.39066464,5736.0
8.0,-1.4116315,-0.30855855,-0.47240052,-0.33841333,-0.3723998,5960.0
8.0,-1.3946375,-0.3108108,-0.4801027,-0.2734653,-0.32724506,5097.0
8.0,-1.3946375,-0.3108108,-0.4801027,-0.2734653,-0.32724506,5097.0
8.0,-1.3002266,-0.2972973,-0.4411639,-0.22788776,-0.34043634,6374.0
8.0,-1.2834849,-0.29054055,-0.42533162,-0.82125056,-0.53221714,5376.0
10.0,-1.4058414,-0.3626126,-0.5014976,-1.3690357,-1.1273465,2631.0
8.0,-1.1435045,0.3198198,-0.36585367,-0.588805,-0.4028412,7051.0
1.0,-0.8904834,-0.20045045,-0.1330766,0.1994018,-0.06240487,8471.0
8.0,-0.6576027,-0.2072072,-0.096705176,-0.2857143,-0.29680365,6550.0
12.0,0.13519637,0.795045,0.59264016,-0.28429,-0.18163368,11851.0
5.0,-0.043806646,0.7184685,0.5588361,0.47115797,0.376966,14350.0
12.0,0.63859516,0.6238739,1.6931964,-0.2347244,-0.023338407,8764.0
4.0,-0.1304124,0.8828829,0.3975182,0.10995585,-0.043632675,13660.0
10.0,0.87953174,-0.8198198,-0.7877621,-0.95627403,-0.6499239,2844.0
4.0,-0.1891994,0.8603604,0.6191699,0.33072212,0.41653982,13326.0
4.0,0.11782477,0.9954955,1.1621737,-0.14100556,-0.24454592,18042.0
4.0,0.29154077,1.0788288,1.8399658,0.23785785,-0.047691528,15427.0
10.0,0.570997,-0.3716216,-0.7274283,-0.7571571,-0.8396753,6955.0
1.0,0.1389728,0.056306306,-0.49807444,0.38228172,0.1263318,12976.0
8.0,-0.755287,-0.25675675,-0.026529739,-0.18060106,-0.1557585,9368.0
12.0,0.50553924,0.038288288,0.80017114,-0.6531833,-0.27853882,8751.0
12.0,0.2779456,0.21846847,0.9276851,-0.48881927,-0.49822426,8457.0
10.0,0.15672205,-0.6936937,-0.6987591,-0.838627,-0.69863015,4426.0
9.0,1.3006042,-0.27027026,0.28455284,-0.123629116,-0.21004567,10850.0
10.0,1.3225075,-0.8400901,-0.73299104,-1.0183735,-0.78843224,2437.0
1.0,-0.45468277,2.2815316,0.30038512,0.8380573,0.39066464,14053.0
1.0,-0.11178248,2.0247748,0.3881044,0.5406637,0.44799593,13231.0
5.0,0.25151056,0.2454955,0.27556697,0.4184589,0.46524608,12589.0
5.0,-0.19939578,-0.13063063,-0.16302952,0.27745336,0.031456113,11919.0
8.0,-0.9856495,-0.12162162,-0.31792897,0.20395955,-0.4733638,7388.0
1.0,-0.9229607,-0.11936937,-0.32092425,0.2042444,-0.3384069,7323.0
8.0,-1.0181268,-0.11486486,-0.32819855,0.008545791,-0.24556063,5883.0
8.0,-1.0181268,-0.11486486,-0.32819855,0.008545791,-0.24556063,5883.0
8.0,-0.9738172,-0.10135135,-0.28968763,0.079191,-0.22729579,8068.0
8.0,-0.8058912,-0.117117114,-0.29525033,-0.2885629,-0.5083714,7030.0
8.0,-0.96072507,-0.1599099,-0.36414206,-0.4030765,-0.7341451,3132.0
8.0,-0.9199396,0.7117117,-0.22207959,-0.27204102,-0.49365804,8969.0
1.0,-0.723565,-0.2635135,0.010697476,0.27318045,-0.05175038,9299.0
8.0,-0.53625375,-0.2792793,0.020111253,-0.15012106,-0.36478946,8411.0
12.0,0.42547885,0.4572072,0.28754812,-0.22731805,-0.042110603,12226.0
5.0,0.1858006,0.4234234,0.26273,0.28970233,0.376966,13549.0
12.0,0.7416918,0.18693693,1.2019683,-0.35578978,-0.0644343,7561.0
12.0,0.683787,0.02027027,0.9593496,0.033898305,0.43328258,9599.0
12.0,0.683787,0.02027027,0.9593496,0.033898305,0.43328258,9599.0
4.0,0.09063444,1.8963964,0.60205394,0.056117363,0.080162354,12921.0
10.0,0.653071,-0.7545045,-0.6645272,-0.8842045,-0.6534754,3377.0
8.0,0.03323263,-0.21396397,-0.5134788,-0.12305939,-0.14155251,8729.0
8.0,0.21299094,-0.16441442,-0.38425332,0.0367469,-0.00304414,8593.0
10.0,-0.9164154,-0.41666666,-0.7804878,-0.7611451,-0.5246068,4761.0
4.0,-0.055388205,1.1058558,0.39495078,0.23871243,0.29883307,13305.0
4.0,0.28247735,0.990991,1.4415917,0.6688506,0.9411466,14931.0
4.0,0.3247734,0.5923423,1.4257596,0.29226607,0.080162354,11470.0
10.0,0.38897282,-0.3310811,-0.8609328,-0.6603048,-0.7412481,7437.0
1.0,0.10422961,0.09234234,-0.6093282,0.29255092,0.17250127,13029.0
5.0,0.23942599,1.3265766,2.5002139,0.6597351,0.80466765,18045.0
8.0,-0.6404834,-0.30405405,-0.34189132,0.033043727,-0.09589041,9647.0
12.0,0.6988927,-0.14414415,0.57766366,-0.57484686,-0.32825977,7594.0
12.0,0.31570998,0.22747748,0.8669234,-0.43298677,-0.38711315,9394.0
10.0,0.08081571,-0.5225225,-0.9503637,-1.2100841,-0.7295789,5086.0
10.0,0.8912387,0.10810811,0.70988446,-0.4580544,-0.40943682,11796.0
10.0,1.2492447,-0.9031532,-0.8451006,-1.0608176,-0.85134447,2127.0
1.0,-0.20443052,2.195946,-0.23919556,0.90186584,0.38711315,14211.0
1.0,0.0407855,1.9797298,-0.096705176,0.46546075,0.1298833,13357.0
5.0,-0.07401813,0.6621622,0.45400086,0.17120068,0.14814815,12009.0
5.0,-0.2545317,-0.08558559,-0.15618314,0.28970233,-0.13597159,8711.0
8.0,-0.6112794,0.8558559,-0.11339324,-0.042728957,-0.5002537,8264.0
1.0,-0.3470544,-0.25225225,-0.24133505,0.24754308,-0.10857433,9822.0
12.0,0.16993958,0.9301802,0.7783483,-0.18857713,-0.05936073,11982.0
5.0,-0.11178248,0.8400901,0.7047497,0.38256657,0.18214105,13127.0
10.0,1.0536253,-0.3626126,0.13649979,-0.52100843,-0.22374429,5993.0
12.0,1.0005665,-0.1554054,0.51818573,-0.57484686,-0.22678843,6290.0
12.0,1.0005665,-0.1554054,0.51818573,-0.57484686,-0.22678843,6290.0
4.0,-0.3021148,1.7972972,0.54129225,0.18886198,-0.033992898,12708.0
